,Birth date,Gender,Wave id,Level,Life status,day_00,day_01,day_02,day_03,day_04,day_05,day_06,day_07,day_08,day_09,day_10,day_11,day_12,day_13,evalexpr,match_n_match,bsq,rush_00,rush_01,rush_02,exam_00,exam_01,exam_02,exam_final,Memory entrance game,Logic entrance game,contract_status
16,19,1,3,4.25668449197861,2,5,5.0,0.0,0.0,5.0,15.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,27.0,7,11,1
17,26,1,1,7.319852941176472,0,85,0.0,0.0,5.0,70.0,10.0,70.0,5.0,0.0,0.0,20.0,29.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,48.0,48.0,27.0,7,11,1
18,31,1,1,7.066176470588236,0,0,0.0,0.0,65.0,0.0,1.0,20.0,10.0,0.0,20.0,50.0,33.0,0.0,60.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,22.0,7,11,1
19,28,1,2,8.831168831168831,1,62,0.0,0.0,57.0,5.0,3.0,100.0,30.0,0.0,31.0,40.0,42.0,35.0,10.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,54.0,80.0,40.0,8,10,1
20,29,1,3,4.165775401069518,1,10,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,11.0,18.0,6,7,1
21,22,1,1,6.629166666666666,0,0,0.0,0.0,5.0,5.0,5.0,20.0,10.0,20.0,31.0,75.0,74.0,0.0,10.0,70.0,100.0,63.0,0.0,0.0,0.0,95.0,59.0,64.0,44.0,8,12,0
22,27,0,2,6.7666666666666675,1,10,0.0,-42.0,50.0,10.0,79.0,100.0,20.0,0.0,16.0,0.0,5.0,-42.0,25.0,80.0,0.0,100.0,0.0,0.0,0.0,80.0,70.0,80.0,45.0,9,14,1
23,28,1,1,7.022058823529411,0,50,0.0,0.0,30.0,40.0,10.0,100.0,40.0,0.0,0.0,50.0,21.0,0.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,95.0,48.0,80.0,49.0,7,13,1
24,19,1,1,12.393700787401574,0,100,100.0,80.0,65.0,5.0,70.0,0.0,0.0,10.0,21.0,50.0,33.0,0.0,50.0,0.0,100.0,0.0,120.0,0.0,100.0,70.0,59.0,0.0,53.0,8,20,1
25,22,1,2,7.242647058823528,1,40,20.0,80.0,50.0,60.0,7.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,43.0,49.0,27.0,9,12,1
26,34,1,3,4.0106951871657746,1,0,0.0,0.0,25.0,50.0,5.0,20.0,20.0,0.0,9.0,30.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,60.0,22.0,16.0,31.0,7,11,1
27,20,1,3,5.372641509433962,0,10,0.0,-42.0,37.0,10.0,0.0,0.0,25.0,0.0,0.0,35.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,70.0,31.0,9,12,1
28,21,0,1,7.797794117647059,0,5,0.0,0.0,10.0,40.0,15.0,0.0,40.0,0.0,24.0,0.0,19.0,20.0,0.0,0.0,66.0,0.0,100.0,0.0,75.0,0.0,11.0,16.0,27.0,9,10,1
29,24,1,3,5.221698113207547,0,10,20.0,0.0,5.0,0.0,5.0,35.0,20.0,0.0,30.0,50.0,27.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,75.0,80.0,72.0,8,9,1
30,28,0,1,7.290441176470589,0,82,60.0,77.0,50.0,80.0,5.0,0.0,60.0,100.0,38.0,30.0,9.0,35.0,40.0,0.0,13.0,0.0,100.0,80.0,0.0,0.0,27.0,27.0,45.0,7,10,1
31,34,1,3,4.1336898395721935,1,7,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,9.0,7,7,1
32,22,1,2,8.116883116883116,0,5,0.0,0.0,0.0,0.0,2.0,0.0,20.0,40.0,18.0,40.0,33.0,0.0,70.0,100.0,100.0,0.0,0.0,0.0,0.0,55.0,0.0,80.0,36.0,7,22,1
33,19,1,2,6.675,0,0,0.0,0.0,22.0,5.0,1.0,0.0,0.0,0.0,19.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,59.0,18.0,8,14,1
34,26,0,3,4.213903743315508,2,0,0.0,0.0,50.0,0.0,0.0,100.0,15.0,0.0,6.0,30.0,21.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,33.0,43.0,45.0,9,13,1
35,26,0,2,7.327205882352941,1,0,0.0,0.0,30.0,60.0,17.0,70.0,30.0,0.0,1.0,20.0,17.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,43.0,27.0,8,7,1
36,23,1,1,8.162337662337661,0,75,0.0,65.0,30.0,30.0,50.0,100.0,0.0,0.0,13.0,10.0,21.0,0.0,0.0,100.0,0.0,70.0,100.0,0.0,0.0,0.0,59.0,0.0,31.0,8,16,1
37,21,1,1,3.763636363636364,0,50,0.0,0.0,80.0,10.0,3.0,0.0,40.0,0.0,0.0,50.0,5.0,0.0,30.0,0.0,0.0,0.0,105.0,0.0,0.0,20.0,70.0,70.0,43.0,7,10,0
38,18,1,3,3.56969696969697,2,10,0.0,0.0,0.0,20.0,1.0,20.0,0.0,0.0,21.0,50.0,0.0,0.0,0.0,100.0,60.0,0.0,100.0,0.0,0.0,0.0,43.0,22.0,0.0,7,11,0
39,29,1,1,8.581168831168831,0,0,0.0,35.0,20.0,0.0,0.0,20.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,22.0,17.0,8,10,1
40,23,1,3,6.541666666666668,0,10,0.0,57.0,80.0,40.0,5.0,100.0,30.0,0.0,12.0,60.0,38.0,35.0,50.0,0.0,100.0,0.0,120.0,0.0,100.0,80.0,64.0,70.0,45.0,8,7,1
41,29,1,3,0.4424778761061947,0,10,0.0,-42.0,-42.0,0.0,10.0,0.0,0.0,0.0,0.0,50.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,18.0,8,7,0
42,21,1,3,1.71875,2,0,0.0,0.0,15.0,20.0,1.0,0.0,10.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,48.0,32.0,26.0,7,10,0
43,28,1,2,3.9030303030303033,0,52,0.0,5.0,10.0,40.0,5.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,15.0,27.0,48.0,36.0,8,12,1
44,22,1,1,9.005730659025787,0,100,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,43.0,59.0,31.0,8,11,1
45,38,1,3,3.3757575757575764,0,5,0.0,30.0,0.0,10.0,0.0,35.0,0.0,0.0,4.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,27.0,9.0,7,6,1
46,26,1,2,6.0125,0,5,0.0,0.0,10.0,0.0,20.0,20.0,0.0,0.0,9.0,0.0,29.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,64.0,27.0,9,12,1
47,27,1,3,4.411764705882354,2,10,0.0,10.0,65.0,50.0,1.0,20.0,15.0,0.0,19.0,0.0,33.0,35.0,30.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,27.0,48.0,0.0,8,17,1
48,25,1,3,4.2032085561497325,1,50,0.0,65.0,25.0,85.0,2.0,0.0,15.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,59.0,44.0,36.0,8,14,1
49,25,1,1,7.492647058823528,0,100,100.0,90.0,25.0,20.0,20.0,20.0,60.0,1.0,45.0,55.0,100.0,0.0,60.0,0.0,66.0,0.0,0.0,0.0,0.0,60.0,32.0,33.0,31.0,7,12,1
50,23,1,1,8.551948051948052,0,30,40.0,100.0,50.0,80.0,2.0,100.0,60.0,15.0,0.0,50.0,0.0,35.0,0.0,51.0,100.0,50.0,60.0,100.0,0.0,75.0,49.0,65.0,49.0,8,15,0
51,21,1,3,5.226415094339623,2,10,0.0,0.0,50.0,10.0,0.0,0.0,0.0,0.0,6.0,40.0,-42.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,6.0,54.0,31.0,8,12,1
52,24,1,2,4.0802139037433145,1,20,7.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,16.0,22.0,27.0,6,10,1
53,24,1,3,3.060606060606061,1,0,0.0,0.0,0.0,15.0,15.0,20.0,20.0,0.0,6.0,45.0,0.0,0.0,10.0,0.0,60.0,0.0,0.0,80.0,0.0,60.0,32.0,43.0,31.0,9,13,0
54,33,1,3,4.823529411764706,1,10,0.0,0.0,30.0,0.0,5.0,0.0,40.0,10.0,9.0,50.0,27.0,0.0,45.0,0.0,0.0,100.0,110.0,0.0,0.0,0.0,22.0,54.0,27.0,7,11,1
55,24,1,3,6.883333333333333,2,20,0.0,0.0,15.0,5.0,2.0,0.0,40.0,0.0,32.0,0.0,26.0,27.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,45.0,22.0,64.0,36.0,6,16,1
56,23,1,2,4.903743315508022,0,10,0.0,0.0,30.0,65.0,1.0,0.0,10.0,0.0,15.0,40.0,13.0,20.0,12.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,36.0,10,14,1
57,21,1,3,2.8620689655172415,2,80,0.0,0.0,50.0,5.0,5.0,70.0,10.0,0.0,0.0,50.0,5.0,20.0,0.0,0.0,0.0,0.0,120.0,0.0,100.0,0.0,27.0,27.0,18.0,7,11,1
58,29,1,3,4.796791443850268,1,10,0.0,10.0,10.0,10.0,10.0,20.0,10.0,0.0,6.0,0.0,5.0,27.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,22.0,8,10,1
59,22,1,3,4.192513368983957,0,12,17.0,0.0,50.0,0.0,1.0,20.0,30.0,0.0,3.0,0.0,8.0,0.0,22.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,33.0,33.0,31.0,8,11,1
60,20,0,3,4.18716577540107,2,0,0.0,0.0,25.0,0.0,1.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,18.0,6,11,1
61,23,1,3,4.673796791443849,2,0,0.0,0.0,45.0,0.0,0.0,70.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,100.0,60.0,0.0,0.0,0.0,0.0,0.0,38.0,75.0,40.0,7,10,0
62,28,1,2,9.063037249283667,1,12,0.0,0.0,10.0,5.0,1.0,0.0,0.0,0.0,25.0,60.0,13.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,27.0,59.0,36.0,7,16,1
63,33,0,3,4.898395721925134,2,55,40.0,0.0,15.0,60.0,20.0,20.0,30.0,0.0,0.0,45.0,13.0,0.0,25.0,0.0,100.0,0.0,120.0,0.0,0.0,60.0,32.0,27.0,40.0,9,10,1
64,20,1,3,5.245283018867925,0,5,0.0,80.0,57.0,0.0,5.0,0.0,20.0,1.0,0.0,55.0,21.0,20.0,50.0,45.0,100.0,0.0,105.0,0.0,0.0,0.0,38.0,64.0,45.0,7,14,1
65,25,1,3,2.8896551724137933,2,70,0.0,0.0,25.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,11.0,33.0,31.0,13,14,1
66,19,1,3,4.229946524064172,2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,16.0,17.0,8,12,1
67,29,1,2,5.919811320754717,0,5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,16.0,32.0,36.0,7,12,1
68,19,1,2,3.036363636363636,0,17,0.0,65.0,25.0,40.0,7.0,20.0,0.0,0.0,0.0,20.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,59.0,48.0,45.0,8,14,1
69,23,1,2,1.546875,0,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,43.0,40.0,8,10,1
70,26,1,3,4.192513368983957,2,5,15.0,0.0,25.0,0.0,2.0,70.0,20.0,0.0,8.0,50.0,7.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,100.0,0.0,54.0,59.0,22.0,8,10,1
71,25,1,1,7.6286764705882355,0,65,0.0,30.0,65.0,50.0,5.0,100.0,100.0,10.0,34.0,40.0,13.0,35.0,0.0,-42.0,0.0,0.0,5.0,0.0,0.0,100.0,95.0,85.0,54.0,10,14,1
72,25,1,3,7.757352941176472,2,10,55.0,20.0,50.0,0.0,5.0,0.0,0.0,70.0,24.0,50.0,13.0,0.0,60.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,49.0,43.0,45.0,8,14,1
73,26,1,2,8.292207792207792,1,80,0.0,0.0,57.0,60.0,2.0,100.0,40.0,0.0,18.0,30.0,5.0,0.0,50.0,0.0,0.0,10.0,120.0,0.0,0.0,60.0,43.0,59.0,40.0,7,12,1
74,21,1,1,7.150735294117648,0,50,0.0,-42.0,100.0,30.0,15.0,20.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,80.0,75.0,54.0,7,12,1
75,21,0,4,4.759358288770054,2,0,0.0,0.0,30.0,0.0,0.0,70.0,0.0,0.0,0.0,40.0,21.0,0.0,10.0,0.0,0.0,100.0,0.0,0.0,0.0,70.0,22.0,32.0,36.0,8,11,1
76,26,1,1,5.0,0,100,0.0,35.0,40.0,55.0,1.0,0.0,20.0,0.0,17.0,50.0,29.0,27.0,30.0,0.0,0.0,0.0,120.0,59.0,0.0,100.0,64.0,80.0,40.0,9,10,0
77,20,1,1,8.142857142857142,0,15,0.0,17.0,25.0,65.0,0.0,20.0,0.0,0.0,3.0,35.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,64.0,45.0,6,10,1
78,25,1,1,8.185064935064933,2,5,0.0,0.0,5.0,5.0,5.0,70.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,100.0,0.0,120.0,0.0,0.0,55.0,32.0,38.0,27.0,7,11,1
79,19,1,2,7.014705882352941,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,31.0,7,10,1
80,23,1,3,2.082758620689656,0,20,0.0,0.0,15.0,0.0,20.0,70.0,0.0,0.0,0.0,20.0,0.0,0.0,10.0,0.0,0.0,0.0,120.0,0.0,0.0,30.0,16.0,27.0,36.0,8,12,0
81,20,0,2,7.5514705882352935,2,5,0.0,0.0,50.0,0.0,1.0,20.0,20.0,0.0,0.0,40.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,70.0,70.0,36.0,8,11,1
82,19,0,2,8.704545454545455,0,27,0.0,0.0,15.0,40.0,10.0,20.0,50.0,15.0,0.0,40.0,0.0,0.0,40.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,75.0,36.0,7,17,1
83,32,1,3,1.734375,0,70,37.0,35.0,30.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,9.0,8,11,0
84,20,1,3,4.149732620320854,2,0,0.0,0.0,5.0,0.0,5.0,20.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,9.0,7,10,1
85,20,1,3,4.855614973262032,2,10,0.0,0.0,35.0,0.0,1.0,20.0,60.0,20.0,29.0,50.0,42.0,35.0,30.0,0.0,60.0,0.0,0.0,0.0,110.0,75.0,59.0,65.0,35.0,7,10,1
86,23,1,1,12.795275590551181,0,100,0.0,30.0,80.0,85.0,70.0,20.0,0.0,10.0,52.0,0.0,50.0,0.0,50.0,0.0,100.0,0.0,120.0,0.0,0.0,100.0,59.0,55.0,40.0,8,11,1
87,21,1,3,3.6666666666666665,2,5,0.0,15.0,20.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,20.0,45.0,0.0,100.0,0.0,0.0,0.0,0.0,75.0,22.0,38.0,35.0,8,10,1
88,30,1,3,6.395833333333332,1,10,0.0,0.0,25.0,50.0,35.0,0.0,30.0,0.0,0.0,50.0,25.0,0.0,40.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11.0,33.0,40.0,7,9,1
89,27,0,1,7.9485294117647065,0,2,0.0,0.0,5.0,85.0,1.0,20.0,20.0,0.0,0.0,50.0,46.0,0.0,0.0,0.0,100.0,0.0,120.0,0.0,0.0,0.0,32.0,48.0,36.0,10,10,1
90,20,1,1,5.580188679245284,0,95,100.0,50.0,30.0,10.0,0.0,70.0,0.0,0.0,0.0,40.0,5.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,64.0,36.0,9,18,0
91,22,1,1,7.290441176470589,0,100,100.0,0.0,25.0,0.0,5.0,0.0,0.0,0.0,0.0,50.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,27.0,16.0,18.0,7,6,1
92,20,1,1,11.926339285714285,0,5,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,10.0,100.0,0.0,100.0,59.0,70.0,54.0,11,11,1
93,32,0,1,7.106617647058822,0,85,30.0,0.0,30.0,10.0,2.0,0.0,35.0,0.0,0.0,20.0,5.0,0.0,45.0,0.0,0.0,0.0,120.0,0.0,0.0,65.0,43.0,54.0,40.0,9,15,1
94,24,1,3,5.84433962264151,2,30,0.0,35.0,40.0,50.0,0.0,70.0,10.0,0.0,0.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,48.0,27.0,8,14,1
95,31,1,1,4.171122994652406,0,0,0.0,0.0,15.0,50.0,0.0,0.0,0.0,0.0,0.0,40.0,17.0,10.0,0.0,0.0,86.0,0.0,120.0,0.0,0.0,90.0,38.0,64.0,36.0,8,11,0
96,26,1,1,7.772058823529411,0,5,0.0,0.0,5.0,70.0,1.0,100.0,30.0,0.0,0.0,0.0,21.0,0.0,0.0,5.0,100.0,0.0,60.0,0.0,0.0,20.0,48.0,50.0,44.0,9,16,1
97,19,1,3,4.117647058823529,2,20,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,33.0,0.0,7,12,1
98,29,1,2,6.158333333333332,1,0,0.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,100.0,0.0,0.0,110.0,0.0,0.0,0.0,17.0,27.0,22.0,8,7,1
99,26,1,2,5.660377358490566,0,0,0.0,0.0,25.0,0.0,0.0,20.0,40.0,0.0,19.0,35.0,5.0,35.0,30.0,100.0,0.0,0.0,0.0,0.0,0.0,45.0,54.0,64.0,45.0,8,14,1
100,20,0,3,4.176470588235294,2,5,0.0,0.0,15.0,0.0,1.0,0.0,15.0,0.0,10.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,20.0,16.0,1.0,13.0,7,6,1
101,27,1,1,7.959558823529411,0,5,0.0,35.0,0.0,0.0,1.0,20.0,0.0,0.0,29.0,10.0,25.0,20.0,0.0,0.0,0.0,0.0,120.0,100.0,0.0,0.0,16.0,27.0,31.0,8,12,1
102,30,1,1,9.739255014326648,0,100,0.0,80.0,100.0,10.0,3.0,20.0,0.0,40.0,30.0,40.0,21.0,-42.0,55.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,80.0,75.0,54.0,8,15,1
103,20,1,3,4.122994652406417,2,10,0.0,0.0,30.0,10.0,0.0,-42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,73.0,0.0,0.0,0.0,0.0,0.0,32.0,48.0,31.0,7,13,1
104,20,1,3,7.790441176470589,2,40,0.0,10.0,15.0,40.0,1.0,20.0,10.0,10.0,0.0,30.0,-42.0,27.0,40.0,5.0,100.0,0.0,120.0,0.0,0.0,65.0,0.0,64.0,45.0,9,11,1
105,22,1,1,7.352941176470589,0,0,0.0,0.0,50.0,0.0,3.0,20.0,30.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,32.0,17.0,31.0,8,13,1
106,20,0,2,8.866883116883116,2,5,0.0,50.0,50.0,10.0,25.0,100.0,0.0,0.0,19.0,40.0,5.0,0.0,20.0,0.0,60.0,0.0,0.0,0.0,0.0,75.0,48.0,64.0,35.0,9,17,1
107,40,1,3,5.962264150943396,1,70,70.0,0.0,80.0,5.0,70.0,100.0,50.0,40.0,15.0,40.0,21.0,35.0,30.0,0.0,0.0,0.0,60.0,0.0,0.0,100.0,48.0,70.0,54.0,8,10,0
108,37,1,3,4.780748663101605,1,10,10.0,0.0,25.0,0.0,10.0,20.0,30.0,0.0,0.0,0.0,21.0,20.0,25.0,0.0,100.0,0.0,115.0,0.0,0.0,0.0,16.0,38.0,27.0,9,10,1
109,23,1,3,4.208556149732622,2,0,0.0,0.0,65.0,0.0,30.0,0.0,40.0,1.0,35.0,20.0,13.0,0.0,45.0,0.0,0.0,0.0,120.0,0.0,0.0,75.0,64.0,70.0,45.0,9,19,1
110,23,0,3,4.0641711229946536,2,0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,50.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,17.0,10,12,1
111,20,0,2,4.502673796791443,0,35,10.0,0.0,0.0,10.0,1.0,0.0,15.0,0.0,0.0,20.0,5.0,20.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,22.0,38.0,22.0,7,12,1
112,19,1,1,8.766233766233766,0,75,0.0,20.0,25.0,85.0,60.0,70.0,0.0,0.0,26.0,0.0,33.0,27.0,0.0,0.0,100.0,0.0,10.0,0.0,0.0,95.0,44.0,75.0,40.0,7,12,1
113,19,0,3,4.957219251336898,2,50,0.0,0.0,32.0,5.0,10.0,60.0,20.0,0.0,12.0,45.0,9.0,35.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,16.0,32.0,36.0,8,12,1
114,18,1,3,4.737967914438503,2,55,0.0,0.0,10.0,5.0,1.0,35.0,30.0,10.0,9.0,0.0,13.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,17.0,64.0,27.0,7,14,1
115,24,0,3,4.882352941176472,1,10,0.0,0.0,15.0,50.0,5.0,0.0,15.0,0.0,0.0,40.0,19.0,20.0,25.0,0.0,100.0,0.0,120.0,0.0,75.0,0.0,22.0,27.0,27.0,7,10,1
